,,,,归属母公司股东的净利润同比增长率(%),,,,,,,归属母公司股东的净利润-扣除非经常损益同比增长率(%),,,,,,,营业总收入同比增长率(%),,,,,,,销售毛利率,,,,,,,销售净利率,,,,,,,加权平均净资产收益率,,,,,,
ts_code,name,area,list_date,20200331_x,20190331_x,20191231_x,20181231_x,20171231_x,20161231_x,20151231_x,20200331_y,20190331_y,20191231_y,20181231_y,20171231_y,20161231_y,20151231_y,20200331_x,20190331_x,20191231_x,20181231_x,20171231_x,20161231_x,20151231_x,20200331_y,20190331_y,20191231_y,20181231_y,20171231_y,20161231_y,20151231_y,20200331_x,20190331_x,20191231_x,20181231_x,20171231_x,20161231_x,20151231_x,20200331_y,20190331_y,20191231_y,20181231_y,20171231_y,20161231_y,20151231_y
600460.SH,士兰微,浙江,20030311,-90.4343,-25.4885,-91.4749,0.5759,76.7486,140.4727,-75.7362,-607.28,-83.77,-234.32,-9.36,325.5,184.3483,-129.26,4.6705,1.4764,2.7998,10.3606,15.4413,23.2888,3.0152,20.7347,22.1057,19.4745,25.4554,26.7036,24.6663,26.6726,-2.9668,-0.9569,-3.4499,2.4541,3.7498,3.8586,2.1579,0.07,0.67,0.43,5.12,6.65,3.93,1.67
600537.SH,亿晶光电,浙江,20030123,-259.4459,-400.5448,-541.686,40.9488,-86.4503,53.86,94.7852,-207.4184,-1425.0441,-570.33,79.42,-90.13,61.12,101.38,-31.3859,18.9906,0.2487,-14.1966,-19.9268,5.0501,51.3837,7.0111,10.3496,10.1322,14.0693,13.3449,21.1029,19.5815,-15.9269,-3.0403,-8.5136,1.9323,1.1763,6.9515,4.7091,-1.75,-0.44,-8.69,1.89,1.42,12.45,9.14
600584.SH,长电科技,江苏,20030603,387.6111,-985.8982,109.4392,-373.5763,222.8933,104.4993,-66.8101,163.3736,-388.5517,39.4129,-397.8243,-27.6767,-3620.8203,-95.24,26.4317,-17.7708,-1.3841,0.0041,24.5424,77.2415,68.1171,13.0976,8.1048,11.1839,11.4255,11.7143,11.8192,17.8348,2.3493,-1.0201,0.4108,-3.8842,0.3083,-1.6504,-1.4655,1.05,-0.38,0.71,-9.15,4.89,2.45,1.41
600667.SH,太极实业,江苏,19930728,11.9425,20.5075,8.5946,37.1323,79.6785,101.7398,66.0745,3.17,29.15,23.24,29.71,348.15,974.4723,54.2632,-1.3268,7.4641,8.085,30.0665,25.1414,34.5531,4.5863,11.1025,11.2115,12.831,13.2529,13.559,14.8734,10.6971,3.4384,3.0755,4.2644,4.3104,4.5882,4.3148,3.1933,1.56,1.47,9.39,9.13,7.11,6.79,1.48
600703.SH,三安光电,湖北,19960528,-36.9547,-35.8513,-54.1203,-10.5572,46.0415,27.8597,15.8806,-57.35,-55.94,-69.3,-15.28,52.49,22.55,26.29,-2.7424,-11.101,-10.8121,-0.3497,33.8157,29.1123,6.0832,28.2442,36.9378,29.3714,44.7083,48.7903,41.6464,46.1422,23.2876,35.925,17.4057,33.8345,37.6953,34.5419,35.9698,1.78,2.88,6.0,13.43,17.13,12.95,14.21
603005.SH,晶方科技,江苏,20140210,1753.6451,-67.957,52.2745,-25.673,81.3949,-53.4291,-42.298,941.41,-223.04,166.4,-63.53,100.42,-56.42,-53.83,123.9653,-39.7332,-1.036,-9.9472,22.715,-10.9998,-6.5104,47.8186,27.4682,39.0332,27.9351,37.1955,32.221,35.8186,32.5775,3.9361,19.3275,12.561,15.2186,10.2955,19.6755,3.08,0.18,5.61,3.89,5.56,3.18,6.95
603068.SH,博通集成,上海,20190415,-4.4283,4.6187,103.6694,41.731,-16.0329,10.9515,41.9703,-8.02,4.86,113.33,34.4957,-18.9595,4.1433,34.0202,7.4653,6.9245,115.0853,-3.3965,7.9635,18.0027,20.8979,29.3253,34.6769,36.2502,39.305,34.0287,36.4701,42.5848,11.5513,12.9888,21.4852,22.6895,15.4651,19.8847,21.1484,1.23,3.7,26.61,33.28,32.83,30.44,40.1
603290.SH,斯达半导,浙江,20200204,41.7853,,39.8331,83.5044,145.6105,66.1949,,12.22,,35.16,76.1565,340.5223,330.9467,,-7.4786,,15.4097,54.1997,45.6718,18.8849,,30.903,28.8218,30.6132,29.4108,30.6005,27.9742,28.8272,19.6417,12.824,17.4232,14.2877,11.7035,6.6508,4.6934,3.08,,27.23,24.9,16.75,7.68,4.89
603501.SH,韦尔股份,上海,20170504,800.029,19.0972,221.1436,1.2016,-3.2003,22.8146,17.7579,1530.8,19.39,152.13,9.94,-5.09,19.0295,24.7444,44.2127,-11.838,40.5051,64.7401,11.3453,8.9498,40.8902,32.2268,22.1092,27.3918,23.4108,20.5354,20.1168,19.2602,11.6975,6.1634,5.1738,2.9187,5.1292,6.083,5.4368,5.34,3.07,10.17,10.08,13.39,19.53,19.86
603893.SH,瑞芯微,福建,20200207,350.7265,,6.5316,81.1099,18.1102,255.2385,-54.1582,790.84,,1.9,89.4893,21.5214,619.2376,-74.1536,23.4579,,10.7665,1.6284,-3.6661,27.8125,-0.481,40.7134,38.7492,40.0936,39.917,34.7509,33.4193,34.643,11.7764,3.2257,14.5417,15.1198,8.4843,6.9201,2.4898,1.73,,12.69,13.48,13.1,12.62,4.15
